Winner,gamma,opp_gamma,season
1,-55,-11.25,2015
0,-54,74.25,2015
0,-51.25,34,2015
0,-51.25,25.25,2015
0,-39.75,52.75,2015
0,-38.5,23.25,2015
0,-38,47,2015
0,-35,26.75,2015
0,-34,54.5,2015
0,-34,32.75,2015
0,-33,45.5,2015
0,-32.25,25.75,2015
0,-32,40.5,2015
1,-32,27.75,2015
0,-31.25,32.25,2015
0,-31,49.25,2015
0,-30.75,16.25,2015
0,-28.5,61.25,2015
0,-28.25,-33.5,2015
0,-27.5,16.25,2015
0,-27.25,86.25,2015
0,-26.5,13,2015
0,-26.25,38.75,2015
0,-26,39.25,2015
0,-25.5,29.5,2015
0,-25,68,2015
0,-24.75,3,2015
0,-24.25,12.25,2015
0,-24,56.25,2015
0,-24,62,2015
1,-23.5,39.5,2015
0,-23.25,64.5,2015
0,-23.25,23.25,2015
0,-23,27.5,2015
0,-22.5,55.25,2015
0,-22.25,3.25,2015
0,-22,36.75,2015
1,-21.75,23.25,2015
1,-21.75,30.25,2015
0,-21.5,5.5,2015
0,-21.25,46.25,2015
0,-21.25,46.75,2015
1,-20.5,16.5,2015
0,-20.5,77.5,2015
0,-20.25,4.75,2015
0,-20.25,12.5,2015
1,-20.25,39.75,2015
0,-20.25,-15,2015
0,-20.25,30.5,2015
0,-20,-18.25,2015
0,-19.5,39,2015
0,-19.5,56.5,2015
0,-19.25,15.5,2015
0,-19.25,50.25,2015
1,-19,35,2015
0,-19,41.25,2015
0,-19,44,2015
0,-18.75,16,2015
0,-18.5,40,2015
0,-18.5,15.25,2015
0,-18.25,0.75,2015
1,-17.75,33.75,2015
0,-17.75,14.75,2015
0,-17.75,48.25,2015
0,-17.5,33.5,2015
0,-17.25,25.5,2015
0,-17.25,81.25,2015
0,-17,54,2015
0,-17,71.5,2015
0,-17,50.5,2015
0,-16,44.25,2015
0,-16,21,2015
0,-15.75,14.5,2015
0,-15.75,45.25,2015
0,-15.75,23.5,2015
0,-15.75,51,2015
0,-15.75,14.75,2015
0,-15.25,34.5,2015
0,-15.25,51.75,2015
0,-15,18,2015
0,-14.75,33.5,2015
0,-14.75,12.5,2015
1,-14.5,37.5,2015
0,-14.5,14,2015
0,-14.5,5.25,2015
0,-14.5,37,2015
0,-14.25,68.5,2015
1,-14.25,50.25,2015
0,-14.25,44.75,2015
0,-14.25,45.75,2015
0,-13.75,71.25,2015
0,-13.75,13,2015
1,-13.75,-19.5,2015
0,-13.5,20.25,2015
0,-13.5,39.25,2015
0,-13.5,29.5,2015
1,-13.25,4.25,2015
0,-13,37.75,2015
0,-13,51.25,2015
0,-13,41,2015
0,-13,29.75,2015
0,-13,44,2015
0,-12.75,19,2015
0,-12.75,42,2015
1,-12.75,50.25,2015
0,-12.75,34.25,2015
0,-12.75,44,2015
0,-12.75,11.75,2015
1,-12.5,-3.5,2015
1,-12.5,25.75,2015
0,-12.25,18.25,2015
0,-12.25,76.25,2015
1,-12,1.5,2015
0,-12,45,2015
0,-11.5,-5.5,2015
1,-11.5,-16.5,2015
